sub_id,hf_match,target_shapes_match,nr_dists,t_d_ratio,mean_rt,pc
9.0,diff,match,3.0,0.666666666667,730.009731604,0.923076923077
10.0,diff,match,3.0,0.666666666667,678.674375699,0.8
11.0,diff,match,3.0,0.666666666667,614.568893515,0.857142857143
12.0,diff,match,3.0,0.666666666667,632.958964227,0.944444444444
13.0,diff,match,3.0,0.666666666667,617.159612399,0.866666666667
14.0,diff,match,3.0,0.666666666667,729.284427809,1.0
15.0,diff,match,3.0,0.666666666667,602.476518644,0.941176470588
1.0,diff,match,4.0,0.5,682.280474325,1.0
2.0,diff,match,4.0,0.5,633.496091547,1.0
3.0,diff,match,4.0,0.5,707.627440725,0.95652173913
4.0,diff,match,4.0,0.5,766.132050141,1.0
5.0,diff,match,4.0,0.5,680.363024085,1.0
6.0,diff,match,4.0,0.5,635.367325146,0.888888888889
7.0,diff,match,4.0,0.5,651.686228163,1.0
8.0,diff,match,4.0,0.5,753.169296609,1.0
9.0,diff,match,4.0,0.5,739.098922211,1.0
10.0,diff,match,4.0,0.5,591.891356633,1.0
11.0,diff,match,4.0,0.5,601.735653853,1.0
12.0,diff,match,4.0,0.5,610.646304211,0.888888888889
13.0,diff,match,4.0,0.5,612.822020524,1.0
14.0,diff,match,4.0,0.5,702.172385824,1.0
15.0,diff,match,4.0,0.5,588.242385437,0.833333333333
1.0,diff,match,6.0,0.333333333333,668.47536789,0.857142857143
2.0,diff,match,6.0,0.333333333333,585.193752162,1.0
3.0,diff,match,6.0,0.333333333333,659.043127724,1.0
4.0,diff,match,6.0,0.333333333333,622.621001417,1.0
5.0,diff,match,6.0,0.333333333333,604.255098908,0.933333333333
6.0,diff,match,6.0,0.333333333333,702.844820284,1.0
7.0,diff,match,6.0,0.333333333333,674.228437522,1.0
8.0,diff,match,6.0,0.333333333333,647.015085995,1.0
9.0,diff,match,6.0,0.333333333333,743.738163145,1.0
10.0,diff,match,6.0,0.333333333333,623.873692147,1.0
11.0,diff,match,6.0,0.333333333333,646.729716533,0.941176470588
12.0,diff,match,6.0,0.333333333333,653.075579282,1.0
13.0,diff,match,6.0,0.333333333333,589.717416934,0.947368421053
14.0,diff,match,6.0,0.333333333333,737.807329938,0.888888888889
15.0,diff,match,6.0,0.333333333333,583.299546058,0.916666666667
1.0,diff,match,10.0,0.2,762.084145326,0.933333333333
2.0,diff,match,10.0,0.2,737.775830869,1.0
3.0,diff,match,10.0,0.2,777.111320598,0.9
4.0,diff,match,10.0,0.2,669.518830987,1.0
5.0,diff,match,10.0,0.2,623.987989551,1.0
6.0,diff,match,10.0,0.2,653.776292832,1.0
7.0,diff,match,10.0,0.2,665.318152857,1.0
8.0,diff,match,10.0,0.2,695.216959376,1.0
9.0,diff,match,10.0,0.2,647.740380306,1.0
10.0,diff,match,10.0,0.2,612.748238623,0.9375
11.0,diff,match,10.0,0.2,651.845963552,1.0
12.0,diff,match,10.0,0.2,552.836897128,0.866666666667
13.0,diff,match,10.0,0.2,624.186177785,1.0
14.0,diff,match,10.0,0.2,723.183092308,0.923076923077
15.0,diff,match,10.0,0.2,633.824665627,1.0
1.0,diff,match,13.0,0.153846153846,693.345952473,0.909090909091
2.0,diff,match,13.0,0.153846153846,636.178792449,1.0
3.0,diff,match,13.0,0.153846153846,679.780491215,0.833333333333
4.0,diff,match,13.0,0.153846153846,675.473648765,1.0
5.0,diff,match,13.0,0.153846153846,599.978500967,0.933333333333
6.0,diff,match,13.0,0.153846153846,662.976058623,0.928571428571
7.0,diff,match,13.0,0.153846153846,682.526871729,1.0
8.0,diff,match,13.0,0.153846153846,687.275543618,1.0
9.0,diff,match,13.0,0.153846153846,681.050886993,1.0
10.0,diff,match,13.0,0.153846153846,588.515143234,1.0
11.0,diff,match,13.0,0.153846153846,655.142583412,1.0
12.0,diff,match,13.0,0.153846153846,629.193451967,0.9375
13.0,diff,match,13.0,0.153846153846,625.480152928,0.909090909091
14.0,diff,match,13.0,0.153846153846,696.434272788,1.0
15.0,diff,match,13.0,0.153846153846,566.304173975,0.888888888889
1.0,same,not_match,3.0,0.666666666667,925.934525401,1.0
2.0,same,not_match,3.0,0.666666666667,744.571041977,1.0
3.0,same,not_match,3.0,0.666666666667,799.390599567,1.0
4.0,same,not_match,3.0,0.666666666667,854.505648045,1.0
5.0,same,not_match,3.0,0.666666666667,742.453843878,1.0
6.0,same,not_match,3.0,0.666666666667,824.103838952,1.0
7.0,same,not_match,3.0,0.666666666667,692.164244407,1.0
8.0,same,not_match,3.0,0.666666666667,823.966482326,1.0
9.0,same,not_match,3.0,0.666666666667,879.841116229,1.0
10.0,same,not_match,3.0,0.666666666667,616.295531578,1.0
11.0,same,not_match,3.0,0.666666666667,720.670124333,1.0
12.0,same,not_match,3.0,0.666666666667,737.083078232,1.0
13.0,same,not_match,3.0,0.666666666667,636.110810683,1.0
14.0,same,not_match,3.0,0.666666666667,929.236449557,1.0
15.0,same,not_match,3.0,0.666666666667,644.836693978,1.0
1.0,same,not_match,4.0,0.5,777.402404605,1.0
2.0,same,not_match,4.0,0.5,725.143763867,1.0
3.0,same,not_match,4.0,0.5,800.652822218,1.0
4.0,same,not_match,4.0,0.5,875.279053663,1.0
5.0,same,not_match,4.0,0.5,602.191037912,1.0
6.0,same,not_match,4.0,0.5,753.31559801,1.0
7.0,same,not_match,4.0,0.5,798.700295901,1.0
8.0,same,not_match,4.0,0.5,868.942098165,1.0
9.0,same,not_match,4.0,0.5,723.172690097,1.0
10.0,same,not_match,4.0,0.5,591.861521863,1.0
11.0,same,not_match,4.0,0.5,711.701692886,1.0
12.0,same,not_match,4.0,0.5,670.918990581,1.0
13.0,same,not_match,4.0,0.5,643.057701904,1.0
14.0,same,not_match,4.0,0.5,925.248233233,1.0
15.0,same,not_match,4.0,0.5,610.320834118,1.0
1.0,same,not_match,6.0,0.333333333333,747.798626907,1.0
2.0,same,not_match,6.0,0.333333333333,752.499380438,1.0
3.0,same,not_match,6.0,0.333333333333,769.966231403,1.0
4.0,same,not_match,6.0,0.333333333333,877.790309561,1.0
5.0,same,not_match,6.0,0.333333333333,678.407260233,1.0
6.0,same,not_match,6.0,0.333333333333,736.140590785,1.0
7.0,same,not_match,6.0,0.333333333333,713.31365096,1.0
8.0,same,not_match,6.0,0.333333333333,698.451154848,1.0
9.0,same,not_match,6.0,0.333333333333,759.760796269,1.0
10.0,same,not_match,6.0,0.333333333333,581.352172305,1.0
11.0,same,not_match,6.0,0.333333333333,681.4166764,1.0
12.0,same,not_match,6.0,0.333333333333,655.978650008,1.0
13.0,same,not_match,6.0,0.333333333333,819.944971271,1.0
14.0,same,not_match,6.0,0.333333333333,751.986759697,1.0
15.0,same,not_match,6.0,0.333333333333,631.569914065,1.0
1.0,same,not_match,10.0,0.2,749.347604421,1.0
2.0,same,not_match,10.0,0.2,677.197953651,1.0
3.0,same,not_match,10.0,0.2,754.642156047,1.0
4.0,same,not_match,10.0,0.2,694.195389236,1.0
5.0,same,not_match,10.0,0.2,662.68558312,1.0
6.0,same,not_match,10.0,0.2,713.252996122,1.0
7.0,same,not_match,10.0,0.2,726.847857031,1.0
8.0,same,not_match,10.0,0.2,788.624805199,1.0
9.0,same,not_match,10.0,0.2,780.123346372,1.0
10.0,same,not_match,10.0,0.2,632.52228925,1.0
11.0,same,not_match,10.0,0.2,796.088221962,1.0
12.0,same,not_match,10.0,0.2,696.99349465,1.0
13.0,same,not_match,10.0,0.2,675.688975135,1.0
14.0,same,not_match,10.0,0.2,734.08227187,1.0
15.0,same,not_match,10.0,0.2,605.871252451,1.0
1.0,same,not_match,13.0,0.153846153846,755.71418462,1.0
2.0,same,not_match,13.0,0.153846153846,623.493435138,1.0
3.0,same,not_match,13.0,0.153846153846,717.944548855,1.0
4.0,same,not_match,13.0,0.153846153846,759.294367409,1.0
5.0,same,not_match,13.0,0.153846153846,730.926238234,1.0
6.0,same,not_match,13.0,0.153846153846,683.33055532,1.0
7.0,same,not_match,13.0,0.153846153846,844.25025487,1.0
8.0,same,not_match,13.0,0.153846153846,740.9157208,1.0
9.0,same,not_match,13.0,0.153846153846,653.015998777,1.0
10.0,same,not_match,13.0,0.153846153846,615.14397447,1.0
11.0,same,not_match,13.0,0.153846153846,678.317816569,1.0
12.0,same,not_match,13.0,0.153846153846,701.63544085,0.941176470588
13.0,same,not_match,13.0,0.153846153846,684.985637547,1.0
14.0,same,not_match,13.0,0.153846153846,749.509660834,1.0
15.0,same,not_match,13.0,0.153846153846,559.655934826,1.0
1.0,diff,not_match,3.0,0.666666666667,795.922512776,1.0
2.0,diff,not_match,3.0,0.666666666667,710.368457331,1.0
3.0,diff,not_match,3.0,0.666666666667,801.780384912,1.0
4.0,diff,not_match,3.0,0.666666666667,799.80915908,1.0
5.0,diff,not_match,3.0,0.666666666667,836.146164777,1.0
6.0,diff,not_match,3.0,0.666666666667,720.708403333,1.0
7.0,diff,not_match,3.0,0.666666666667,759.619237683,1.0
8.0,diff,not_match,3.0,0.666666666667,748.876333887,1.0
9.0,diff,not_match,3.0,0.666666666667,834.866349057,1.0
10.0,diff,not_match,3.0,0.666666666667,654.629887091,1.0
11.0,diff,not_match,3.0,0.666666666667,694.517311646,1.0
12.0,diff,not_match,3.0,0.666666666667,688.895491248,1.0
13.0,diff,not_match,3.0,0.666666666667,702.255202208,1.0
14.0,diff,not_match,3.0,0.666666666667,796.176679902,1.0
15.0,diff,not_match,3.0,0.666666666667,613.381454446,1.0
1.0,diff,not_match,4.0,0.5,817.460883015,1.0
2.0,diff,not_match,4.0,0.5,748.948601732,1.0
3.0,diff,not_match,4.0,0.5,757.691602918,1.0
4.0,diff,not_match,4.0,0.5,905.175859161,1.0
5.0,diff,not_match,4.0,0.5,631.307882479,1.0
6.0,diff,not_match,4.0,0.5,757.578509849,1.0
7.0,diff,not_match,4.0,0.5,721.927243919,1.0
8.0,diff,not_match,4.0,0.5,904.427624856,1.0
9.0,diff,not_match,4.0,0.5,787.792634849,1.0
10.0,diff,not_match,4.0,0.5,652.273102328,1.0
11.0,diff,not_match,4.0,0.5,650.408252364,1.0
12.0,diff,not_match,4.0,0.5,703.288103132,1.0
13.0,diff,not_match,4.0,0.5,725.770845216,0.928571428571
14.0,diff,not_match,4.0,0.5,880.841216477,1.0
15.0,diff,not_match,4.0,0.5,641.357305019,1.0
1.0,diff,not_match,6.0,0.333333333333,746.144615756,1.0
2.0,diff,not_match,6.0,0.333333333333,748.727808782,1.0
3.0,diff,not_match,6.0,0.333333333333,830.964210354,1.0
4.0,diff,not_match,6.0,0.333333333333,729.201792241,1.0
5.0,diff,not_match,6.0,0.333333333333,660.901414161,1.0
6.0,diff,not_match,6.0,0.333333333333,696.133124277,1.0
7.0,diff,not_match,6.0,0.333333333333,742.320536855,1.0
8.0,diff,not_match,6.0,0.333333333333,808.528968112,1.0
9.0,diff,not_match,6.0,0.333333333333,765.913093142,1.0
10.0,diff,not_match,6.0,0.333333333333,611.667327646,1.0
11.0,diff,not_match,6.0,0.333333333333,651.769628864,1.0
12.0,diff,not_match,6.0,0.333333333333,660.057374072,1.0
13.0,diff,not_match,6.0,0.333333333333,760.185442519,1.0
14.0,diff,not_match,6.0,0.333333333333,670.525016623,1.0
15.0,diff,not_match,6.0,0.333333333333,648.078676642,1.0
1.0,diff,not_match,10.0,0.2,844.933452391,1.0
2.0,diff,not_match,10.0,0.2,666.943744962,1.0
3.0,diff,not_match,10.0,0.2,708.608105476,1.0
4.0,diff,not_match,10.0,0.2,790.303448297,1.0
5.0,diff,not_match,10.0,0.2,618.859705987,1.0
6.0,diff,not_match,10.0,0.2,643.402538294,1.0
7.0,diff,not_match,10.0,0.2,741.592972956,1.0
8.0,diff,not_match,10.0,0.2,763.887066291,1.0
9.0,diff,not_match,10.0,0.2,815.68283697,1.0
10.0,diff,not_match,10.0,0.2,596.287778077,1.0
11.0,diff,not_match,10.0,0.2,623.334049352,1.0
12.0,diff,not_match,10.0,0.2,679.934160312,1.0
13.0,diff,not_match,10.0,0.2,651.457726268,1.0
14.0,diff,not_match,10.0,0.2,745.815809445,1.0
15.0,diff,not_match,10.0,0.2,599.583158196,1.0
1.0,diff,not_match,13.0,0.153846153846,751.077672147,1.0
2.0,diff,not_match,13.0,0.153846153846,656.091626798,1.0
3.0,diff,not_match,13.0,0.153846153846,646.529421397,1.0
4.0,diff,not_match,13.0,0.153846153846,777.236509555,1.0
5.0,diff,not_match,13.0,0.153846153846,597.438494878,1.0
6.0,diff,not_match,13.0,0.153846153846,707.531149148,1.0
7.0,diff,not_match,13.0,0.153846153846,778.367297384,1.0
8.0,diff,not_match,13.0,0.153846153846,700.262460348,1.0
9.0,diff,not_match,13.0,0.153846153846,707.937000433,1.0
10.0,diff,not_match,13.0,0.153846153846,595.658587054,1.0
11.0,diff,not_match,13.0,0.153846153846,635.387212509,1.0
12.0,diff,not_match,13.0,0.153846153846,647.237278602,1.0
13.0,diff,not_match,13.0,0.153846153846,617.261953274,1.0
14.0,diff,not_match,13.0,0.153846153846,775.988341385,1.0
15.0,diff,not_match,13.0,0.153846153846,600.817701951,1.0
