sub_id,nr_targets,nr_dists,nr_stim,t_d_ratio,mean_rt,pc
7.0,2.0,3.0,5.0,0.666666666667,725.400049321,0.944444444444
8.0,2.0,3.0,5.0,0.666666666667,805.601379776,0.933333333333
9.0,2.0,3.0,5.0,0.666666666667,824.456313057,0.981481481481
10.0,2.0,3.0,5.0,0.666666666667,630.252554326,0.888888888889
11.0,2.0,3.0,5.0,0.666666666667,665.882164716,0.888888888889
12.0,2.0,3.0,5.0,0.666666666667,675.259261887,0.944444444444
13.0,2.0,3.0,5.0,0.666666666667,695.709935998,0.944444444444
14.0,2.0,3.0,5.0,0.666666666667,829.313498972,0.981481481481
15.0,2.0,3.0,5.0,0.666666666667,642.19766185,0.944444444444
1.0,2.0,4.0,6.0,0.5,774.174888417,0.962962962963
2.0,2.0,4.0,6.0,0.5,681.330879838,1.0
3.0,2.0,4.0,6.0,0.5,711.492110999,0.981481481481
4.0,2.0,4.0,6.0,0.5,820.741299796,1.0
5.0,2.0,4.0,6.0,0.5,644.669554917,0.981481481481
6.0,2.0,4.0,6.0,0.5,686.334464137,0.925925925926
7.0,2.0,4.0,6.0,0.5,712.979085683,1.0
8.0,2.0,4.0,6.0,0.5,819.190517285,0.977777777778
9.0,2.0,4.0,6.0,0.5,742.727631717,0.981481481481
10.0,2.0,4.0,6.0,0.5,599.673278463,0.944444444444
11.0,2.0,4.0,6.0,0.5,657.649190461,0.907407407407
12.0,2.0,4.0,6.0,0.5,642.579536428,0.944444444444
13.0,2.0,4.0,6.0,0.5,640.462483073,0.962962962963
14.0,2.0,4.0,6.0,0.5,835.592649435,0.981481481481
15.0,2.0,4.0,6.0,0.5,616.136231493,0.944444444444
1.0,2.0,6.0,8.0,0.333333333333,725.179203151,0.962962962963
2.0,2.0,6.0,8.0,0.333333333333,681.590232927,1.0
3.0,2.0,6.0,8.0,0.333333333333,766.84482335,0.981481481481
4.0,2.0,6.0,8.0,0.333333333333,737.529173274,1.0
5.0,2.0,6.0,8.0,0.333333333333,652.828675681,0.925925925926
6.0,2.0,6.0,8.0,0.333333333333,701.493272052,0.981481481481
7.0,2.0,6.0,8.0,0.333333333333,716.452032725,1.0
8.0,2.0,6.0,8.0,0.333333333333,714.971154866,0.977777777778
9.0,2.0,6.0,8.0,0.333333333333,752.837125055,1.0
10.0,2.0,6.0,8.0,0.333333333333,605.093980869,1.0
11.0,2.0,6.0,8.0,0.333333333333,673.682106917,0.962962962963
12.0,2.0,6.0,8.0,0.333333333333,648.711063863,1.0
13.0,2.0,6.0,8.0,0.333333333333,655.787083229,0.981481481481
14.0,2.0,6.0,8.0,0.333333333333,760.051021423,0.944444444444
15.0,2.0,6.0,8.0,0.333333333333,622.163467998,0.888888888889
1.0,2.0,10.0,12.0,0.2,762.600872483,0.962962962963
2.0,2.0,10.0,12.0,0.2,687.938122453,1.0
3.0,2.0,10.0,12.0,0.2,741.783534072,0.962962962963
4.0,2.0,10.0,12.0,0.2,710.331055367,0.981481481481
5.0,2.0,10.0,12.0,0.2,641.631088533,0.944444444444
6.0,2.0,10.0,12.0,0.2,667.872080091,0.962962962963
7.0,2.0,10.0,12.0,0.2,684.837313452,1.0
8.0,2.0,10.0,12.0,0.2,717.266213072,1.0
9.0,2.0,10.0,12.0,0.2,724.511166116,1.0
10.0,2.0,10.0,12.0,0.2,612.796745883,0.944444444444
11.0,2.0,10.0,12.0,0.2,672.630853338,0.981481481481
12.0,2.0,10.0,12.0,0.2,632.639431784,0.944444444444
13.0,2.0,10.0,12.0,0.2,638.072490619,1.0
14.0,2.0,10.0,12.0,0.2,730.432111376,0.981481481481
15.0,2.0,10.0,12.0,0.2,603.797889035,0.925925925926
1.0,2.0,13.0,15.0,0.153846153846,719.434345944,0.981481481481
2.0,2.0,13.0,15.0,0.153846153846,641.522375456,1.0
3.0,2.0,13.0,15.0,0.153846153846,702.450711151,0.944444444444
4.0,2.0,13.0,15.0,0.153846153846,738.396772996,1.0
5.0,2.0,13.0,15.0,0.153846153846,612.538456501,0.981481481481
6.0,2.0,13.0,15.0,0.153846153846,684.585283177,0.981481481481
7.0,2.0,13.0,15.0,0.153846153846,736.235873369,1.0
8.0,2.0,13.0,15.0,0.153846153846,706.626747332,1.0
9.0,2.0,13.0,15.0,0.153846153846,705.999334828,1.0
10.0,2.0,13.0,15.0,0.153846153846,596.497367972,0.981481481481
11.0,2.0,13.0,15.0,0.153846153846,650.567404,0.981481481481
12.0,2.0,13.0,15.0,0.153846153846,638.038796431,0.962962962963
13.0,2.0,13.0,15.0,0.153846153846,640.968442863,0.981481481481
14.0,2.0,13.0,15.0,0.153846153846,752.6221476,1.0
15.0,2.0,13.0,15.0,0.153846153846,579.507455191,0.944444444444
